"Occurrences","Word","LgSUBTLWF","OLD","PLD","I_Mean_RT","I_Zscore","I_Mean_Accuracy"
"1","consignment","1.477","3.550","3.400","753.633","0.179","0.88"
"1","consist","1.362","2.350","2.100","718.067","-0.376","0.91"
"1","consistency","1.602","3.200","3.400","754.419","-0.117","0.91"
"1","consistent","2.468","2.600","2.850","688.559","-0.184","0.97"
"1","consolation","2.272","2.700","2.900","855.424","0.266","1.00"
"1","console","2.061","2.350","2.000","724.788","-0.099","0.97"
"1","consolidate","1.380","3.650","4.000","869.182","0.080","0.97"
"1","consolidated","1.568","3.850","4.500","812.029","0.188","1.00"
"1","consort","1.518","2.050","2.850","722.154","-0.164","0.76"
"1","conspiracy","2.722","3.850","3.900","684.353","-0.188","1.00"
"1","conspire","1.505","2.750","2.550","693.067","-0.355","0.91"
"1","constable","2.161","2.850","3.050","764.312","-0.063","0.97"
"1","constellation","1.690","3.300","2.650","869.970","0.330","0.94"
"1","constipation","1.342","3.050","2.950","734.161","0.020","0.97"
"1","constituency","1.362","3.850","4.500","903.462","0.566","0.76"
"1","constitute","1.643","2.800","3.500","775.229","-0.055","1.00"
"1","constitution","2.452","2.750","3.350","728.625","-0.213","0.97"
"1","construct","1.875","2.500","2.550","693.882","-0.365","1.00"
"1","consul","2.267","2.500","1.950","724.923","-0.070","0.42"
"1","consulate","2.398","2.600","2.850","834.310","0.029","0.88"
"1","consult","2.456","2.350","2.250","617.688","-0.550","0.91"
"1","consultant","2.274","3.150","3.450","718.258","-0.258","0.94"
"1","consume","2.025","2.250","2.150","667.516","-0.427","0.94"
"1","consumer","2.029","2.400","2.650","717.265","-0.348","0.97"
"1","consummate","1.708","3.300","2.800","906.926","0.328","0.82"
"1","consumption","1.978","3.100","3.350","665.312","-0.284","0.97"
"1","contagion","1.342","2.850","3.500","872.895","0.367","0.56"
"1","contagious","2.233","3.500","3.650","716.515","0.003","0.97"
"1","contain","2.493","2.300","2.050","634.879","-0.491","1.00"
"1","container","2.342","2.700","2.550","655.788","-0.528","0.97"
"1","containment","2.033","3.200","3.050","902.069","0.215","0.94"
"1","contaminate","1.568","3.450","3.900","919.045","0.352","0.71"
"1","contamination","1.785","3.350","4.350","940.419","0.568","0.97"
"1","contempt","2.410","2.800","2.950","700.879","-0.405","0.97"
"1","contend","1.690","2.050","2.150","752.677","-0.138","0.97"
"1","contender","1.699","2.700","2.500","711.871","-0.274","0.97"
"1","content","2.591","1.700","2.350","656.765","-0.535","1.00"
"1","contention","1.623","2.250","2.200","853.875","0.167","0.97"
"1","contentment","1.342","3.350","3.600","858.517","0.222","0.91"
"1","contest","2.982","1.800","2.400","593.576","-0.686","0.97"
"1","contestant","2.137","3.150","3.450","746.033","-0.051","0.94"
"1","context","2.215","1.900","2.550","610.781","-0.577","0.94"
"1","continent","2.274","2.400","2.950","787.655","-0.102","0.94"
"1","continuation","1.398","3.300","4.550","897.633","0.512","0.97"
"1","continuity","1.556","3.100","4.700","725.774","-0.159","0.94"
"1","continuous","1.996","3.000","2.650","782.242","-0.034","1.00"
"1","continuum","1.892","3.300","2.950","895.750","0.300","0.65"
"1","contraband","1.690","3.800","4.700","898.333","0.276","0.94"
"1","contraception","1.380","3.500","4.250","904.367","0.476","0.94"
"1","contract","3.218","2.250","2.500","660.906","-0.479","0.97"
"1","contraction","1.748","2.400","2.550","737.515","-0.145","0.97"
"1","contractor","2.207","2.600","2.550","793.323","-0.071","0.94"
"1","contradict","1.845","3.250","4.300","817.533","-0.055","0.91"
"1","contraption","1.881","2.700","3.000","920.370","0.541","0.84"
"1","contrast","2.033","2.550","2.600","596.882","-0.559","1.00"
"1","contribute","2.290","2.950","3.600","701.588","-0.184","1.00"
"1","controller","1.826","3.250","3.250","662.061","-0.452","1.00"
"1","contusion","1.568","2.450","2.750","1,079.889","0.934","0.56"
"1","convene","1.602","1.900","2.150","900.423","0.346","0.84"
"1","convenience","2.391","3.150","3.550","749.091","-0.116","0.94"
"1","convention","2.799","2.250","2.200","678.515","-0.264","1.00"
"1","converge","1.518","2.350","2.650","806.812","0.056","1.00"
"1","conversation","3.405","2.800","2.700","792.788","-0.068","1.00"
"1","conversationalist","1.380","5.050","6.200","1,043.633","1.031","1.00"
"1","converse","1.826","2.150","2.050","740.394","-0.252","1.00"
"1","convert","2.204","1.800","2.200","633.970","-0.531","1.00"
"1","convey","2.137","1.850","2.300","705.133","-0.309","0.94"
"1","conviction","2.483","2.350","2.500","695.879","-0.331","1.00"
"1","convince","2.981","2.700","2.450","705.061","-0.301","0.97"
"1","convoy","2.260","2.450","2.950","741.545","-0.203","0.94"
"1","cookbook","1.580","3.250","2.900","667.903","-0.555","0.94"
"1","cookout","1.602","2.800","2.600","710.969","-0.146","0.97"
"1","cool","4.000","1.450","1.000","572.312","-0.753","0.94"
"1","coolant","1.556","2.850","2.550","783.038","0.173","0.76"
"1","cooler","2.558","1.850","1.650","574.219","-0.645","1.00"
"1","cooperate","2.724","2.650","3.500","660.424","-0.356","1.00"
"1","cooperative","2.021","2.850","3.650","706.176","-0.261","1.00"
"1","coordinate","2.117","3.150","3.700","772.909","-0.117","1.00"
"1","coordination","1.785","3.400","4.550","743.500","-0.040","1.00"
"1","coordinator","1.914","4.000","5.050","645.235","-0.380","0.97"
"1","cope","2.223","1.000","1.000","568.688","-0.748","0.94"
"1","copier","1.518","1.800","1.900","638.031","-0.535","0.94"
"1","copilot","1.740","2.950","4.250","950.250","0.472","0.77"
"1","copycat","1.653","3.250","3.550","766.167","-0.080","0.94"
"1","copyright","1.505","3.650","3.550","675.250","-0.386","0.94"
"1","corduroy","1.544","3.800","3.700","910.421","0.410","0.63"
"1","corkscrew","1.763","4.100","4.700","812.742","-0.068","0.94"
"1","cornbread","1.672","3.600","4.000","746.429","-0.129","1.00"
"1","cornerstone","1.544","4.450","5.000","798.438","-0.010","1.00"
