No,Word,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised
224,slept,0.4286,1.8929,0.3929,5.0714,0.7857,3.8571,0.2857,5.1429,0.0714,2.2857,0.4286,0.0000,0.1786,0.2143,0.1429
23,small,0.4643,0.2857,0.2857,0.8929,0.4286,0.2500,0.4286,0.6071,0.5357,0.1786,0.7500,0.2500,0.0714,0.7857,0.3571
291,snake,0.2581,0.6452,0.0968,0.1290,0.0968,0.9032,5.0645,0.5161,4.0000,0.4839,0.7097,1.2903,2.7419,4.6452,4.2903
508,snub,4.8000,0.8667,3.7667,0.6667,3.2333,0.4000,3.0667,0.0667,5.2333,0.1333,4.0667,4.9667,3.0667,1.3333,3.1000
49,soccer,5.6667,0.7000,0.6667,0.6000,1.4333,1.2667,0.7000,2.5333,0.4000,2.1333,0.2667,0.4000,0.1667,0.1667,1.0667
24,soft,0.1724,0.3793,1.1034,0.9655,0.3448,0.7931,0.1034,3.2759,0.3103,1.6897,0.2414,0.0345,0.1034,0.2759,0.1724
142,soldier,1.8667,5.9000,0.5000,0.4333,0.6333,3.8667,4.8333,1.5333,1.8667,1.7333,1.7333,1.7000,0.8000,2.6000,1.4667
381,spaghetti,0.6667,0.0000,0.1000,0.1667,0.1000,1.8000,0.0667,4.1667,0.0667,2.9667,0.0333,0.0000,0.0333,0.0000,0.0333
434,spatula,0.5000,0.0000,0.0333,0.2667,0.3333,2.7667,0.8667,1.6333,0.1000,0.9667,0.0000,0.0333,0.0667,0.0333,0.1333
532,speech,4.7333,1.5000,5.7333,1.8333,4.0000,3.9000,1.6333,3.0000,1.5000,2.9667,1.7333,2.1000,1.2000,1.4667,2.1333
25,spiritual,2.9615,2.7692,2.1154,3.3846,4.0385,3.6923,0.8846,3.6923,0.5769,4.0769,0.7692,0.3077,0.1538,0.8077,0.7692
225,spoke (to),5.5667,4.1000,6.0000,4.1667,3.6333,3.8333,1.2000,2.8333,0.9000,2.1000,0.7000,0.9000,0.4667,0.7000,0.9000
177,spring,0.5714,0.0000,0.0000,0.2143,0.0357,2.5000,0.1429,4.9643,0.0000,4.6786,0.0714,0.0357,0.0000,0.0000,0.7500
262,squeal,1.8667,0.4000,3.1333,0.1667,1.9333,0.5333,0.6000,0.9333,2.9000,1.0667,0.6667,1.3333,0.8667,1.6333,4.1000
520,stampede,1.8929,1.1786,0.3214,0.0714,0.3214,0.1071,5.2500,0.1786,4.4643,0.1071,1.6786,2.0357,1.1786,4.7500,4.1071
435,stapler,0.1724,0.0690,0.1379,0.1379,0.1034,2.4138,2.3103,0.9655,0.1379,0.5862,0.0000,0.0000,0.0000,0.0345,0.1379
226,stayed,1.4483,3.1724,0.8621,2.6207,0.8621,1.8276,0.2414,2.2069,0.6552,0.9310,0.3103,0.4138,0.2069,0.3793,0.1379
227,stole,2.7586,4.7586,0.7586,0.1724,2.3103,0.6552,4.6207,0.2414,4.5517,0.3448,2.2069,3.4138,2.6552,2.6207,2.6897
106,stone,0.2143,0.0357,0.3571,0.0714,0.0714,1.1429,3.3571,0.6429,0.2857,0.3571,0.2857,0.2500,0.0714,0.6429,0.2143
173,store,3.5333,0.2667,1.0333,0.8333,1.0667,3.6000,0.5333,2.7667,0.8333,2.6333,0.1667,0.3667,0.3667,0.2667,0.4667
50,storm,0.5000,0.2857,0.2143,0.2143,0.3214,1.1786,4.6071,1.5000,3.0357,0.8929,2.1071,0.9643,0.6429,2.9643,2.3929
174,street,1.2000,0.0667,0.5667,0.2667,0.1000,3.3333,1.0667,1.0667,0.4333,0.6667,0.2333,0.1000,0.0333,0.6000,0.2000
143,student,2.0968,5.7419,0.5161,2.4516,2.0000,3.0968,0.8065,1.9677,0.4194,1.9677,0.1613,0.4194,0.1290,0.0645,0.4839
449,submarine,1.0000,0.1481,1.0741,0.1111,0.3333,2.5185,3.4815,1.2593,0.5926,0.4074,0.5185,0.5926,0.1111,1.5926,1.2963
450,subway,2.0345,0.1034,0.2069,0.2414,0.1724,3.8966,1.8276,0.9655,1.4483,0.6552,0.2759,0.0690,0.8621,0.7586,0.2069
484,sum,0.8462,0.0000,1.3846,0.8077,3.6154,2.1538,0.4615,1.5385,0.8846,1.6154,0.6538,0.7692,0.3077,0.3846,0.9615
178,summer,1.1481,0.1481,0.0370,0.5926,0.2963,1.7407,0.8519,3.9259,0.5185,3.8519,0.1852,0.1111,0.1852,0.0370,0.3704
107,sun,0.1613,0.0968,0.5161,0.3226,0.2258,4.0000,3.4839,3.1290,0.4839,2.9355,0.1290,0.1290,0.0645,0.4516,0.3548
228,survived,2.2500,4.0417,0.7917,1.6250,2.4167,5.1250,0.8333,3.7083,0.3333,4.1250,0.6667,0.3333,0.1667,2.8750,2.0833
344,sympathy,4.6207,0.7586,2.5862,3.1379,4.9310,4.5172,0.4138,2.8276,1.0345,2.5517,2.7586,0.5517,0.1379,0.3103,1.3103
533,symphony,3.7419,0.7097,1.9355,0.3226,1.4194,2.0968,0.0645,4.7097,0.1935,4.1613,0.9355,0.1935,0.0323,0.2581,0.9032
108,table,0.8621,0.0000,0.5862,0.0690,0.0000,2.0345,0.1724,1.2069,0.0345,0.3448,0.0000,0.0000,0.0000,0.0000,0.0345
335,tangerine,0.1724,0.0345,0.0690,0.0345,0.0345,2.2414,0.3793,3.6207,0.1724,2.0690,0.1379,0.0000,0.0690,0.0000,0.0345
485,tax,2.0000,0.2857,0.4286,0.4643,0.5714,2.7143,2.0714,0.0714,4.7500,0.1429,3.0714,3.8571,2.3929,1.9286,1.7500
109,tea,1.0333,0.0000,0.0667,0.5333,0.1667,2.6000,0.4333,3.5667,0.2667,2.7333,0.0000,0.0000,0.0667,0.0000,0.1000
144,teacher,3.2333,5.8333,1.9000,1.3000,2.2667,5.6667,0.8667,3.6667,1.1333,3.4000,1.0333,1.1667,0.3667,0.8667,1.4333
74,team,5.4667,5.2333,2.4333,1.9333,1.9667,4.0000,0.8667,2.5000,0.4000,2.8333,0.2000,0.2333,0.1333,0.2667,0.8667
110,television,1.7931,0.4483,3.0345,1.0690,1.2414,2.6552,0.8966,4.0000,0.4828,3.6552,1.2759,1.0345,0.8276,1.0345,1.2069
