Occurrences,Word,Length,LgSUBTLWF,Ortho_N,Phono_N,OLD,PLD,POS,I_Mean_RT,I_Mean_Accuracy,I_NMG_Mean_RT,I_NMG_Mean_Accuracy
1,rude,4,3.051,10,43,1.4,1,JJ|NN,622.235,1,590.037,1
1,rudeness,8,1.643,0,3,2.9,2.25,NN,613.156,0.97,640.462,1
1,ruffle,6,1.477,3,16,1.7,1.35,VB,776.84,0.81,580.429,1
1,rugged,6,2.013,10,2,1.6,1.9,JJ,617.258,0.94,651.889,0.964
1,ruin,4,3.163,4,3,1.75,1.8,NN|VB,679.121,1,629.077,1
1,rule,4,3.39,9,35,1.5,1,NN|VB,557.688,0.97,588.536,1
1,ruler,5,2.212,4,11,1.8,1.7,NN,630.875,0.97,595.966,1
1,ruling,6,2.322,3,14,1.95,1.45,NN|VB,675.962,0.79,609.769,1
1,rummage,7,1.613,0,0,2.8,2.55,VB,665.52,0.76,681.577,0.963
1,rumor,5,2.726,2,14,1.95,1.7,NN|VB,647,0.97,613.5,1
1,rundown,7,1.875,2,2,2.75,3.8,JJ,720.5,0.86,637.786,1
1,runner,6,2.405,3,9,1.9,1.75,NN,590.531,0.97,568.111,1
1,running,7,3.906,6,16,1.8,1.6,VB|NN,601.226,1,588.615,1
1,runny,5,1.819,5,19,1.8,1.35,JJ,733.034,0.88,585.143,1
1,runt,4,2.1,12,15,1.3,1.2,NN,695.815,0.79,570.786,1
1,rural,5,1.778,2,1,1.9,1.95,JJ|NN,644.839,0.91,617.12,0.893
1,ruse,4,1.935,14,51,1.25,1,NN,783.214,0.41,664.348,0.852
1,rush,4,3.205,13,17,1.25,1.05,NN|VB,628.167,0.97,550.148,1
1,rustic,6,1.613,0,1,2.3,2.2,JJ,763.906,0.94,626.167,0.889
1,rustle,6,1.771,2,10,1.8,1.55,NN|VB,709.273,0.97,608.964,1
1,ruthless,8,2.326,0,3,2.9,2.05,JJ,710.03,0.97,616.615,0.963
1,sabotage,8,2.297,0,0,3.3,3.35,NN,731.194,0.97,709.241,1
1,saboteur,8,1.462,0,0,3.55,3.95,NN,859.077,0.38,863.765,0.63
1,sacrament,9,1.462,0,0,3.4,3,NN,786.692,0.87,881.52,0.962
1,sacred,6,2.855,2,1,2,2.65,JJ,727.824,1,751.364,0.786
1,sacrifice,9,2.961,0,0,3.45,3.45,NN|VB,679.971,1,641,1
1,sacrificial,11,1.477,0,0,4.2,4.75,JJ,886.161,0.97,820.958,0.923
1,sacrilege,9,1.568,0,0,3.95,3.75,NN,832.636,0.67,876.333,0.875
1,sad,3,3.51,22,39,1,1,JJ|NN,574.031,0.94,628.333,1
1,sadist,6,1.748,1,4,2.25,1.85,NN,776.036,0.8,786.5,0.857
1,sadistic,8,1.944,0,0,2.9,2.85,JJ,779.857,0.82,765,0.966
1,sadness,7,2.389,2,2,2.35,1.9,NN,576.226,0.94,602.964,1
1,safe,4,3.864,10,15,1.55,1.55,JJ|NN,576.758,0.97,605.185,1
1,safeguard,9,1.69,0,0,3.65,3.7,VB|NN,691.788,1,676.556,1
1,safety,6,3.217,1,2,2.45,1.85,NN,629.824,1,658.4,0.926
1,saffron,7,1.505,0,0,2.95,2.3,NN,854.692,0.39,824.217,1
1,sag,3,1.623,21,23,1,1,VB,779.72,0.76,691,1
1,saga,4,1.613,7,3,1.75,1.9,NN,704.964,0.85,693.769,0.963
1,sail,4,2.846,15,47,1.15,1,NN|VB,598.647,1,594.08,0.962
1,sailboat,8,1.919,1,1,3.2,2.8,NN,616.029,1,659.25,1
1,saint,5,2.961,6,10,1.75,1.5,NN,685.353,1,607.808,1
1,sainted,7,1.505,4,6,1.85,1.8,JJ,709.133,0.91,755.222,1
1,sake,4,3.515,19,32,1,1,NN,655.607,0.82,659.375,0.857
1,sale,4,3.113,23,47,1,1,NN,597.606,1,612.929,1
1,salesgirl,9,1.342,0,0,4.4,4.55,NN,810.786,0.9,753.222,1
1,salesman,8,2.727,2,1,2.7,2.9,NN,689.057,1,643.154,0.963
1,salmonella,10,1.447,0,0,4.9,4.9,NN,973.864,0.69,853.913,0.885
1,salon,5,2.371,2,1,1.75,1.95,NN,649.406,0.97,697.917,0.857
1,saloon,6,2.42,2,2,1.85,1.85,NN,756.812,0.94,676.308,1
1,saltwater,9,1.505,0,0,3.55,3.9,NN,695.394,1,660.889,1
1,salty,5,2.107,2,5,1.85,1.8,JJ,612.455,0.97,691.481,0.964
1,salute,6,2.569,0,3,1.9,1.9,NN|VB,709.219,0.97,657.885,1
1,salvage,7,2.324,1,0,2.6,2.65,NN|VB,706.344,0.94,735.815,1
1,salvation,9,2.41,0,0,2.75,2.9,NN,650.147,1,644,1
1,salve,5,1.477,6,4,1.65,1.75,VB,614.933,0.47,761.952,0.84
1,samba,5,1.477,3,1,1.9,2.05,NN,823.591,0.63,681.957,0.821
1,sample,6,2.872,1,1,1.75,1.8,NN|VB,618.484,0.97,644.464,1
1,sanatorium,10,1.447,1,1,4,3.95,NN,975.773,0.69,857.115,0.963
1,sanction,8,1.643,0,0,2.3,2.45,NN|VB,829,1,685.44,1
1,sanctity,8,1.929,1,0,2.8,3.75,NN,890.538,0.84,842.19,0.875
1,sanctuary,9,2.344,0,0,3.5,4.55,NN,683.471,1,680.958,0.96
1,sanctum,7,1.532,2,1,3,2.95,minor,826.88,0.76,788.37,1
1,sandbox,7,1.74,2,1,2.9,3.1,NN,645.265,1,629.538,0.963
1,sandman,7,2.097,0,0,2.55,3.2,NN,753.688,0.97,694.929,1
1,sandpaper,9,1.362,1,1,3.65,4.4,NN|VB,721.457,1,623.038,0.963
1,sandstorm,9,1.633,0,0,3.55,3.65,NN,774.515,1,734.92,0.962
1,sandwich,8,3.049,0,0,3.7,2.85,NN|VB,624.212,1,668.321,1
1,sanitarium,10,2.064,1,1,3.8,4,NN,903.261,0.79,971.68,0.962
1,sanitary,8,1.653,0,0,2.7,2.6,JJ,769.258,0.97,692.185,0.964
1,sanitation,10,1.785,0,0,2.75,2.7,NN,816.923,0.79,781,0.923
1,sanity,6,2.146,1,1,1.95,1.9,NN,740.688,0.97,741.519,0.964
1,sapphire,8,1.792,0,1,3.4,2.4,NN,732.333,0.88,673.483,1
1,sappy,5,1.643,5,14,1.8,1.4,JJ,697.464,0.82,729.269,0.963
1,sarcasm,7,2.167,0,0,2.85,3.6,NN,732.515,0.97,787.643,1
1,sarcophagus,11,1.505,0,0,5.75,4.95,NN,"1,073.87",0.44,"1,026.13",0.762
1,sardine,7,1.672,0,0,2.5,2.6,NN,764.931,0.85,735.321,1
1,sassafras,9,1.518,0,0,4.4,3.85,NN,968.833,0.53,912.812,0.667
1,sassy,5,2.217,3,12,1.85,1.5,JJ,808.419,0.91,645.786,1
1,Satanic,7,1.845,0,0,2.75,2.75,JJ,879.308,0.81,817,1
1,satchel,7,1.881,0,0,2,2.2,NN,818.3,0.57,791.88,0.962
1,satellite,9,2.902,0,0,3.75,2.85,NN,703.935,1,696.889,1
1,satire,6,1.532,0,1,1.95,2.2,NN,761.286,0.85,690.963,0.964
1,satisfy,7,2.458,0,0,2.85,2.8,VB,676.75,0.97,655.037,1
1,saturated,9,1.643,2,0,2.75,3.9,VB|JJ,748.273,1,762.607,1
1,saturation,10,1.462,1,0,2.8,3.75,NN,701.484,0.94,729.231,1
1,saucer,6,2.149,2,5,1.8,1.85,NN,670.333,1,643.143,1
1,saucy,5,1.799,1,7,1.95,1.65,JJ,664.194,0.91,708.63,1
1,sauerkraut,10,1.716,0,0,4.9,4.2,NN,969.2,0.81,849.5,0.96
1,savage,6,2.563,1,1,2,2.25,JJ|NN|VB,705.839,0.97,629.964,1
1,savannah,8,1.892,1,1,3.7,2.65,NN,802.29,0.91,734.607,1
